76,76,"AECC Aero-engine Control Co., Ltd.",SHE:000738,43.9,Severe ESG Risk
77,77,"AECC Aviation Power Co., Ltd.",SHG:600893,50.8,Severe ESG Risk
78,78,AECOM,NYS:ACM,28.5,Medium ESG Risk
79,79,Aecon Group Inc.,TSE:ARE,34.4,High ESG Risk
80,80,Aedifica SA,BRU:AED,17.8,Low ESG Risk
81,81,Aegon NV,AMS:AGN,17.0,Low ESG Risk
82,82,Aena SME SA,MCE:AENA,11.2,Low ESG Risk
83,83,"Aeon Co., Ltd.",TKS:8267,17.5,Low ESG Risk
84,84,"AEON Mall Co., Ltd.",TKS:8905,21.7,Medium ESG Risk
85,85,AerCap Holdings N.V.,NYS:AER,20.5,Medium ESG Risk
86,86,Aeroporti di Roma SpA,-,13.2,Low ESG Risk
87,87,Aéroports de Paris SA,PAR:ADP,16.6,Low ESG Risk
88,88,AF Gruppen ASA,OSL:AFG,31.8,High ESG Risk
89,89,AF Poyry AB,OME:AF.B,23.2,Medium ESG Risk
90,90,Affiliated Managers Group Inc,NYS:AMG,23.1,Medium ESG Risk
91,91,Aflac Inc,NYS:AFL,23.3,Medium ESG Risk
92,92,Afterpay Ltd.,ASX:APT,19.2,Low ESG Risk
93,93,"AGC, Inc.",TKS:5201,18.6,Low ESG Risk
94,94,AGCO Corp.,NYS:AGCO,23.0,Medium ESG Risk
95,95,ageas SA/NV,BRU:AGS,23.1,Medium ESG Risk
96,96,Aggreko PLC,LON:AGK,18.5,Low ESG Risk
97,97,Agile Group Holdings Ltd,HKG:3383,22.9,Medium ESG Risk
98,98,Agilent Technologies Inc,NYS:A,16.6,Low ESG Risk
99,99,"Agios Pharmaceuticals, Inc.",NAS:AGIO,30.8,High ESG Risk
100,100,AGL Energy Ltd.,ASX:AGL,29.0,Medium ESG Risk
101,101,AGNC Investment Corp.,NAS:AGNC,18.1,Low ESG Risk
102,102,Agnico Eagle Mines Ltd,NYS:AEM,27.1,Medium ESG Risk
103,103,Agricultural Bank of China,HKG:1288,31.6,High ESG Risk
104,104,Aguas Andinas S.A.,SGO:AGUAS.A,19.7,Low ESG Risk
105,105,AIA Group Ltd.,HKG:1299,14.3,Low ESG Risk
106,106,AIB Group PLC,DUB:A5G,15.8,Low ESG Risk
107,107,"Aica Kogyo Co., Ltd.",TKS:4206,28.5,Medium ESG Risk
108,108,"Aier Eye Hospital Group Co., Ltd.",SHE:300015,30.5,High ESG Risk
109,109,Air Canada,TSE:AC,29.0,Medium ESG Risk
110,110,Air China Ltd,HKG:753,29.9,Medium ESG Risk
111,111,Air France-KLM SA,PAR:AF,26.9,Medium ESG Risk
112,112,Air Lease Corp,NYS:AL,21.5,Medium ESG Risk
113,113,Air Liquide SA,PAR:AI,13.5,Low ESG Risk
114,114,Air Products & Chemicals Inc,NYS:APD,11.2,Low ESG Risk
115,115,Air Water Inc.,TKS:4088,23.4,Medium ESG Risk
116,116,AirAsia Group Bhd.,KLS:5099,35.4,High ESG Risk
117,117,Airbus SE,PAR:AIR,28.2,Medium ESG Risk
118,118,Airports of Thailand Public Co. Ltd.,BKK:AOT,16.6,Low ESG Risk
119,119,Airtac International Group,TAI:1590,38.4,High ESG Risk
120,120,Airtel Africa Plc,LON:AAF,30.9,High ESG Risk
121,121,"Aisin Seiki Co., Ltd.",TKS:7259,27.0,Medium ESG Risk
122,122,Aisino Corp.,SHG:600271,20.6,Medium ESG Risk
123,123,Aixtron SE,ETR:AIXA,20.4,Medium ESG Risk
124,124,AJ Bell Plc,LON:AJB,25.3,Medium ESG Risk
125,125,"Ajinomoto Co., Inc.",TKS:2802,24.1,Medium ESG Risk
126,126,Akamai Technologies Inc,NAS:AKAM,21.3,Medium ESG Risk
127,127,Akbank T.A.S.,IST:AKBNK,22.1,Medium ESG Risk
128,128,Akelius Residential Property AB,OME:AKEL.D,21.9,Medium ESG Risk
129,129,Aker ASA,OSL:AKER,13.5,Low ESG Risk
130,130,Aker BP ASA,OSL:AKRBP,46.1,Severe ESG Risk
131,131,Aker Solutions ASA,OSL:AKSO,24.6,Medium ESG Risk
