66,BBY,"Best Buy Co., Inc.",53,Industry: RTS Retailing,65,30,60
67,BIO,"Bio-Rad Laboratories, Inc.",16,Industry: LIF Life Sciences Tools & Services, 6, 6,24
68,BIIB,Biogen Inc.,85,Industry: BTC Biotechnology,94,90,80
69,BLK,"BlackRock, Inc.",48,Industry: FBN Diversified Financial Services and Capital Markets,59,30,55
70,BA,Boeing Company,42,Industry: ARO Aerospace & Defense,54,33,43
71,BKNG,Booking Holdings Inc.,16,Industry: RTS Retailing, 8,13,22
72,BWA,BorgWarner Inc.,38,Industry: ATX Auto Components,59,20,34
73,BXP,"Boston Properties, Inc.",61,Industry: REA Real Estate,85,43,49
74,BXP,"Boston Properties, Inc.",61,Industry: REA Real Estate,85,43,49
75,BMY,Bristol-Myers Squibb Company,33,Industry: DRG Pharmaceuticals,64,22,37
76,AVGO,Broadcom Inc.,13,Industry: SEM Semiconductors & Semiconductor Equipment, 4, 5,25
77,BR,"Broadridge Financial Solutions, Inc.",21,Industry: TSV IT services,34, 5,25
78,BF.B,Brown-Forman Corporation,16,Industry: BVG Beverages, 7,20,19
79,2018,AAC Technologies Holdings Inc.,34,"Industry: ITC Electronic Equipment, Instruments & Components",41,34,29
80,COG,Cabot Oil & Gas Corporation,18,Industry: OGX Oil & Gas Upstream & Integrated, 1, 3,41
81,CDNS,"Cadence Design Systems, Inc.",21,Industry: SOF Software,15,14,27
82,N/A,"Caesars Holdings, Inc",47,Industry: CNO Casinos & Gaming,di,di,di
83,CPB,Campbell Soup Company,63,Industry: FOA Food Products,66,48,73
84,CAPC,Capital & Counties Properties PLC,39,Industry: REA Real Estate,53,30,31
85,CAH,"Cardinal Health, Inc.",50,Industry: HEA Health Care Providers & Services,48,47,54
86,KMX,"CarMax, Inc.",19,Industry: RTS Retailing,12,15,24
87,CCL,Carnival Corporation & plc,47,"Industry: TRT Hotels, Resorts & Cruise Lines",66,45,36
88,CCL,Carnival Corporation & plc,47,"Industry: TRT Hotels, Resorts & Cruise Lines",66,45,36
89,CTLT,"Catalent, Inc.",32,Industry: DRG Pharmaceuticals,56,18,38
90,CAT,Caterpillar Inc.,78,Industry: IEQ Machinery and Electrical Equipment,81,80,75
91,CBOE,"Cboe Global Markets, Inc.",31,Industry: FBN Diversified Financial Services and Capital Markets,14,30,37
92,CBRE,"CBRE Group, Inc.",71,Industry: REA Real Estate,79,62,73
93,CDW,CDW Corporation,11,"Industry: ITC Electronic Equipment, Instruments & Components", 3, 2,24
94,CE,Celanese Corporation,24,Industry: CHM Chemicals,22,26,25
95,CNC,Centene Corporation,42,Industry: HEA Health Care Providers & Services,11,36,55
96,CNP,"CenterPoint Energy, Inc.",17,Industry: MUW Multi and Water Utilities, 9,15,29
97,CERN,Cerner Corporation,16,Industry: MTC Health Care Equipment & Supplies, 7, 4,26
98,CF,"CF Industries Holdings, Inc.",27,Industry: CHM Chemicals,24,23,34
99,SCHW,The Charles Schwab Corporation,22,Industry: FBN Diversified Financial Services and Capital Markets, 0,20,29
100,CHTR,"Charter Communications, Inc.",14,"Industry: PUB Media, Movies & Entertainment", 0,10,23
101,CVX,Chevron Corporation,46,Industry: OGX Oil & Gas Upstream & Integrated,44,50,43
102,CMG,"Chipotle Mexican Grill, Inc.",19,Industry: REX Restaurants & Leisure Facilities,19, 7,31
103,CB,Chubb Limited,42,Industry: INS Insurance,54,24,50
104,CHD,"Church & Dwight Co., Inc.",23,Industry: HOU Household Products,39,15,22
105,CI,Cigna Corporation,79,Industry: HEA Health Care Providers & Services,81,80,78
106,CINF,Cincinnati Financial Corporation,17,Industry: INS Insurance, 7, 7,25
107,CTAS,Cintas Corporation,13,Industry: ICS Commercial Services & Supplies, 0, 6,27
108,CSCO,"Cisco Systems, Inc.",79,Industry: CMT Communications Equipment,91,68,76
109,C,Citigroup Inc.,64,Industry: BNK Banks,93,70,53
110,CFG,"Citizens Financial Group, Inc.",23,Industry: BNK Banks, 0,19,31
111,CTXS,"Citrix Systems, Inc.",17,Industry: SOF Software, 3, 3,29
112,ANTM,"Anthem, Inc.",67,Industry: HEA Health Care Providers & Services,67,71,63
113,CME,CME Group Inc.,31,Industry: FBN Diversified Financial Services and Capital Markets, 0,25,41
114,CMS,CMS Energy Corporation,49,Industry: MUW Multi and Water Utilities,44,40,62
115,2579,Coca-Cola Bottlers Japan Holdings Inc.,66,Industry: BVG Beverages,75,57,66
116,CTSH,Cognizant Technology Solutions Corporation,31,Industry: TSV IT services,22,21,39
117,CL,Colgate-Palmolive Company,81,Industry: HOU Household Products,93,83,76
118,CMCS.A,Comcast Corporation,41,"Industry: PUB Media, Movies & Entertainment",23,43,47
119,CMA,Comerica Incorporated,33,Industry: BNK Banks,30,25,39
120,CAG,"Conagra Brands, Inc.",30,Industry: FOA Food Products,42,12,34
121,COP,ConocoPhillips,69,Industry: OGX Oil & Gas Upstream & Integrated,79,62,68
122,ED,"Consolidated Edison, Inc.",20,Industry: MUW Multi and Water Utilities,13,17,33
123,STZ,"Constellation Brands, Inc.",17,Industry: BVG Beverages,21, 6,20
124,ANTM,"Anthem, Inc.",67,Industry: HEA Health Care Providers & Services,67,71,63
125,CPRT,"Copart, Inc.",11,Industry: ICS Commercial Services & Supplies, 2, 3,24
126,GLW,Corning Incorporated,16,"Industry: ITC Electronic Equipment, Instruments & Components",19, 6,21
127,CTVA,"Corteva, Inc.",39,Industry: CHM Chemicals,24,30,61
128,COST,Costco Wholesale Corporation,16,Industry: FDR Food & Staples Retailing,15, 6,24
129,CCI.REIT,Crown Castle International Corp. (REIT),19,Industry: REA Real Estate,14,14,32
130,CSX,CSX Corporation,65,Industry: TRA Transportation and Transportation Infrastructure,84,50,65
131,CMI,Cummins Inc.,76,Industry: IEQ Machinery and Electrical Equipment,90,62,76
132,CVS,CVS Health Corporation,77,Industry: HEA Health Care Providers & Services,88,71,81
133,8267,"Aeon Co., Ltd.",48,Industry: FDR Food & Staples Retailing,63,38,44
134,DHR,Danaher Corporation,19,Industry: MTC Health Care Equipment & Supplies,23,12,23
135,DRI,"Darden Restaurants, Inc.",14,Industry: REX Restaurants & Leisure Facilities, 8, 3,28
136,DVA,DaVita Inc.,62,Industry: HEA Health Care Providers & Services,76,55,64
137,DE,Deere & Company,24,Industry: IEQ Machinery and Electrical Equipment,29,10,30
138,DAL,"Delta Air Lines, Inc.",57,Industry: AIR Airlines,52,43,71
139,XRAY,DENTSPLY SIRONA Inc.,22,Industry: MTC Health Care Equipment & Supplies,17,14,28
140,DVN,Devon Energy Corporation,45,Industry: OGX Oil & Gas Upstream & Integrated,43,22,63
141,DXCM,"DexCom, Inc.",11,Industry: MTC Health Care Equipment & Supplies, 0, 5,17
142,FANG,"Diamondback Energy, Inc.",20,Industry: OGX Oil & Gas Upstream & Integrated,14,10,32
143,BTOW3,B2W - Companhia Digital,46,Industry: RTS Retailing,49,44,45
144,DFS,Discover Financial Services,28,Industry: FBN Diversified Financial Services and Capital Markets, 0,19,39
145,DISC.A,"Discovery, Inc.",13,"Industry: PUB Media, Movies & Entertainment", 1, 4,25
146,DISC.A,"Discovery, Inc.",13,"Industry: PUB Media, Movies & Entertainment", 1, 4,25
147,DISH,DISH Network Corporation,7,"Industry: PUB Media, Movies & Entertainment", 2, 3,11
148,DG,Dollar General Corporation,14,Industry: RTS Retailing, 1, 5,25
149,DG,Dollar General Corporation,14,Industry: RTS Retailing, 1, 5,25
150,D,"Dominion Energy, Inc.",54,Industry: MUW Multi and Water Utilities,63,45,50
151,DPZ,"Domino's Pizza, Inc.",10,Industry: REX Restaurants & Leisure Facilities, 0, 4,20
152,DOV,Dover Corporation,16,Industry: IEQ Machinery and Electrical Equipment,17, 4,24
153,CHDN,Churchill Downs Incorporated,22,Industry: CNO Casinos & Gaming, 0,19,34
154,DTE,DTE Energy Company,29,Industry: MUW Multi and Water Utilities,32,21,30
155,DUK,Duke Energy Corporation,77,Industry: ELC Electric Utilities,76,72,83
156,DUK,Duke Energy Corporation,77,Industry: ELC Electric Utilities,76,72,83
157,DD,"DuPont de Nemours, Inc.",13,Industry: CHM Chemicals, 4, 7,26
158,DXC,DXC Technology Company,56,Industry: TSV IT services,68,50,55
159,EMN,Eastman Chemical Company,33,Industry: CHM Chemicals,43,16,39
160,ETN,Eaton Corporation plc,32,Industry: ELQ Electrical Components & Equipment,42,13,37
161,EBAY,eBay Inc.,67,Industry: RTS Retailing,81,41,74
162,ECL,Ecolab Inc.,77,Industry: CHM Chemicals,86,69,75
